"Status","Timestamp","Event Name","Column 4","Event Date(s)","Venue Name","Address","Event Start Time","Event End Time","Complicated dates/times?","Target Audience","Short Event Description","Long event description","The hook!","Price","Registration","Event link","Primary type of event","Additional type of event","Address Link","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","For the Fans! Fan Merch Workshop","2026-06-16","Tuesday June 16","Fort York Public Library","190 Fort York Blvd.","18:00:00","20:00:00","","Community, Game Enthusiasts","Buying physical merch for your fandom? In this economy?? Fret not because this beginner-friendly workshop will provide the supplies and guidance for creating your very own fan merch! Come make ribbon badges, pins, zines, and more while learning about fan merch etiquette and history.","After becoming unable to afford to buy merch for my favourite games and shows, I taught myself to make fan merch, and now I will teach you! Fan merch can be daunting to get into for many reasons, including being unsure of general etiquette, an insular online culture, and just not being sure where to start. I want to break that down by providing a workshop that goes over all the fan merch basics to make the joy of fan creation accessible. This workshop will offer guides for pin and badge making (including ribbon and oshi badges), zines, and small papercrafts such as paper fans. I hope we can all come together and geek out over the games (and more) we love!","It's a fan merch workshop- so like badges, pins, paper fans and stuff, you could finally finish your ita bag!","Free!","Registration required.","https://www.eventbrite.com/e/for-the-fans-toronto-games-week-tickets-1989742649828?aff=oddtdtcreator","Workshop","","Toronto Public Library - Fort York Branch","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-08 15:05:35","An Intro to DaggerHeart","2026-06-16","Tuesday June 16","Port Union Public Library","5450 Lawrence Ave. E.","18:00:00","20:00:00","","Community, Game Enthusiasts, Game Curious","Come learn the ins and outs of the tabletop roleplaying phenomenon known as DaggerHeart. Players will fall into the roles of our heroic adventurers and prove they have the strength, skills, knowledge and bravery to become the Games Week Champions! No prior TTRPG experience required.","","Its a fun, collaborative storytelling event where the limits are boundless.","Free!","Registration required.","https://tpl.bibliocommons.com/v2/events/69d6a557c1cf6f9a758407d0","Game","","5450 Lawrence Ave E","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-08 12:44:35","Parachute Club","2026-06-16","Tuesday June 16","Christie Pits Park (Southeast)"," 750 Bloor St. W.","18:30:00","19:30:00","","Community","You know those massive, multicoloured silk parachutes you played with in gym class or summer camp? Have you tried playing with one as a grown up? It's REALLY FUN! Come along and suggest/invent new games we can play together in a big circle, or just marvel at how cool it looks. No previous parachute experience necessary.","","Parachute play: how to feel simultaneously like a little kid and like part of a beautiful organism","Free, just show up!","","https://www.facebook.com/share/1FKxF8AR7e/","Game","","750 Bloor St W","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-08 12:23:19","Seriously Fun: Showcase & Social","2026-06-16","Tuesday June 16","Danu Social House","1237 Queen St W.","19:00:00","22:00:00","","Academics, Community, Industry, Game Enthusiasts, NextGen Creators, Game Curious, Game Creators","Seriously Fun: Showcase & Social brings together the local community of serious game enthusiasts and creators for a free mini-showcase. Everyone interested in games being used for educational, instructive or political purposes is welcome! It also includes games and awards for the accessibility focused game jam, You Can Play This Game Jam!","Seriously Fun: Showcase & Social brings together the local community of serious game enthusiasts and creators for a free mini-showcase, highlighting innovative projects and fostering a casual exchange of ideas, insights, and camaraderie. Everyone interested in games being used for educational, instructive or political purposes is welcome! It’s FREE for both showcase participants and attendees.","We're interested in games that transform the way a player sees the world!","Free!","More info here.","https://werocreative.com/seriouslyfun","Showcase","Social","1237 Queen St W","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 19:28:39","Bonus Stage","2026-06-16","Tuesday June 16","TacoTaco","319 Augusta Ave.","19:00:00","23:00:00","","Community, Game Creators","Centred around micro talks given by local community members, Bonus Stage is a long-running monthly social that gives people a space to mingle and get to know new people in the Toronto game dev scene. Featuring a talk by Jenny Windom, Communications Director at Ivy Road and Managing Partner at Wholesome Games.","Centred around micro talks given by local community members which serve the dual purpose of being informative and a conversation starter, Bonus Stage is a long-running monthly social that gives people a space to mingle and get to know new people. This month will feature a talk by Jenny Windom, Communications Director at Ivy Road and Managing Partner at Wholesome Games.","Come mingle and have some drinks with game devs, listen to 3 microtalks, and have fun!","Free, just show up!","More info here.","https://bonusstage.carrd.co/","Talk","Social","319 Augusta Ave","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-21 18:34:29","IGDA Trivia Night: The Entire History of Game Development","2026-06-16","Tuesday June 16","Great Lakes Brewery","11 Lower Jarvis St., Units 5-8","19:00:00","23:00:00","","Community, Industry, Game Enthusiasts","Hosted by comedian and narrative designer (EA, The Sims) Franci Dimitrovska, this is a trivia night about the strangest, funniest, and most catastrophically ill-advised moments in game development! There's prizes, comedy, and bonus games that require no knowledge whatsoever, because the points are made up. Followed by our regular meet and mingle.","Hosted by comedian and narrative designer (EA, The Sims) Franci Dimitrovska, this is a trivia night about the strangest, funniest, and most catastrophically ill-advised moments in game development history. Expect prizes, comedy, and several bonus games that require no knowledge whatsoever, because the points are made up and life is short. No team? Come alone and join our ad hoc teams.","A trivia night about the strangest, funniest, and most catastrophically ill-advised moments in game development history. ","Free!","Registration required.","https://www.eventbrite.ca/e/igda-trivia-night-the-entire-history-of-game-development-more-or-less-tickets-1989701169760","Game","","11 Lower Jarvis St","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-14 15:27:29","The Beautiful Game: A Playable History of Soccer Video Games","2026-06-17","Wednesday June 17","Royal Ontario Museum","100 Queen's Park","11:00:00","16:00:00","Thursday, June 11: 11am-4pm
Friday, June 12: 11am-4pm
Saturday, June 13: 11am-4pm
Sunday, June 14: 11am-4pm
MONDAY – ROM CLOSED
Tuesday, June 16: 11am-8pm (free general admission starting at 4pm)
Wednesday, June 17: 11am-4pm

","Community","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.","The Beautiful Game presents a playable selection of soccer video games spanning the last 50 years. The exhibit traces how the world’s most popular sport has been imagined for players on screen, from early home console experiments to influential titles that helped define modern sports gaming. It invites visitors to celebrate soccer’s global history through play as the beautiful game comes home to Toronto.

Beginning with early interpretations on platforms such as the Atari 2600, where soccer was represented through simple graphics and fast reflexes, the exhibition follows the sport’s digital evolution through home consoles like the Nintendo Entertainment System and into the rise of landmark franchises such as FIFA International Soccer. Displayed side by side, these games reveal how advances in technology reshaped ideas of realism, competition, and spectacle across generations.

This exhibit is a collaboration between the Royal Ontario Museum, the University of Toronto Mississauga Library with its extensive Syd Bolton Collection of video games, and the Broken Games Collective, a community of practice that champions restoring access to games that are broken, obsolete, or inaccessible. Together, they bring historical hardware, software, and curatorial expertise into a shared space that recognizes retro video games as cultural artifacts, preserving how generations of players have engaged with soccer beyond the stadium and onto the screen.
","Global soccer comes to Toronto. Play the video games that brought the beautiful game home. ","Included with ROM ticket entry..","Tickets required.","https://tickets.rom.on.ca/en/shop","Showcase","","100 Queen's Park","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","","Curatorial Tour of Game On! at the Aga Khan Museum","2026-06-17","Wednesday June 17","Aga Khan Museum","77 Wynford Drive","16:00:00","18:00:00","","","Join us for a guided curatorial tour of <a href=""https://aga-khan-museum-assets.s3.amazonaws.com/uploads/2026/03/Game-On_Aga-Khan-Museum_Press-Release_03.20.26_FINAL_V2.pdf"">Game On!</a>, a vibrant exhibition celebrating the art, culture, and spirit of games through time. From board games to daring sports, each piece invites you to explore how games connect people, spark creativity and build communities. Get a special look at exhibit highlights with a guided tour from Bita Pourvash, the exhibition’s curator!","","","Free!","Registration required.","https://docs.google.com/forms/d/1Rbfv5PmcRqpB5U-NfT-zgFeDVWDVmWYnbH6g9ADcjyU/edit","","","77 Wynford Drive","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-17 15:02:54","Walkin' with Droqen... on the Island","2026-06-17","Wednesday June 17","Jack Layton Ferry Terminal","9 Queens Quay W.","16:15:00","20:00:00","","Community","Come take a stroll & chat with other attendees in a relaxing nature environment! We're going to arrive early for the 4:30 ferry to Hanlan's Point (don't be late or you'll miss it!), walk to Ward's Island, and - hopefully - get back right in time for the TGW Closing Party. Round trip ferry tickets are ~$10/adult. (P.S. Be prepared for 2-3 hours of walking, with breaks.)","","I love walking around the city, and I especially love the island. Come walk the islands with me for a few hours on the last day of TGW :)","Free, just show up!","","","Social","","9 Queens Quay West","","","","","","","","","","","","","","","","","","","","","","","",""
"complete","2026-04-16 12:21:41","TGW Closing Party","2026-06-17","Wednesday June 17","Demo Room","307 Lakeshore Blvd. E.","20:00:00","23:59:00","","Academics, Community, Industry, Game Enthusiasts, NextGen Creators, ESports, Game Curious, Game Creators","Close out TGW 2026 with one final adventure, with support from Interactive Ontario as part of their 25th Anniversary celebrations!  In addition to a 20 game retrospective for Toronto Game Jam's 20th year, we have an awesome finale performance from HyperGame StoryTime -- but oh no, wait! The Bad Vibes Wizard has shown up to wreck our fun! He's trapped the various instruments needed to launch us into Party Time: can you help the Aerialist Angel free them? Or, help out by making Dream Game drawings to attack the Bad Vibes Wizard and banish him for good! All these shenanigans plus drinks, music, networking, a game showcase in a Dirty RecRoom, and a raffle for a Nintendo Switch 2 provided by our joyful tech supporters, CrowdParty! (19+).","","","$10-25.","Tickets required.","https://luma.com/ccsakubc","Social","Performance","307 Lakeshore Blvd E","","","","","","","","","","","","","","","","","","","","","","","",""
